Salutation,Fullname,State/Electorate
Senator,David Pocock,ACT
Senator,Katy Gallagher,ACT
Ms,Ash Ambihaipahar,Barton
Ms,Jessica Teesdale,Bass
Mr,Jerome Laxale,Bennelong
Ms,Anne Urquhart,Braddon
Ms,Dai Le,Fowler
Ms,Renee Coffey,Griffith
Mr,David Batt,Hinkler
Mr,Mark Dreyfus,Isaacs
Ms,Marion Scrymgour,Lingiari
Ms,Mary Aldred,Monash
Ms,Sharon Claydon,Newcastle
Senator,Andrew Bragg,NSW
Senator,Anthony Sheldon,NSW
Senator,David Shoebridge,NSW
Senator,Deborah O'Neill,NSW
Senator,Devanand Sharma,NSW
Senator,Jessica Collins,NSW
Senator,Maria Kovacic,NSW
Senator,Mehreen Faruqi,NSW
Senator,Ross Cadell,NSW
Senator,Timothy Ayres,NSW
Senator,Jacinta Nampijinpa Price,NT
Senator,Malarndirri McCarthy,NT
Senator,Anthony Chisholm,QLD
Senator,Corinne Mulholland,QLD
Senator,James McGrath,QLD
Senator,Larissa Waters,QLD
Senator,Malcolm Roberts,QLD
Senator,Matthew Canavan,QLD
Senator,Murray Watt,QLD
Senator,Nita Green,QLD
Senator,Paul Scarr,QLD
Senator,Penny Allman-Payne,QLD
Senator,Susan McDonald,QLD
Senator,Alexander Antic,SA
Senator,Andrew McLachlan,SA
Senator,Anne Ruston,SA
Senator,Barbara Pocock,SA
Senator,Charlotte Walker,SA
Senator,Donald Farrell,SA
Senator,Karen Grogan,SA
Senator,Kerrynne Liddle,SA
Senator,Marielle Smith,SA
Senator,Sarah Hanson-Young,SA
Senator,Carol Brown,TAS
Senator,Claire Chandler,TAS
Senator,Helen Polley,TAS
Senator,Jacqui Lambie,TAS
Senator,Jonathon Duniam,TAS
Senator,Josh Dolega,TAS
Senator,Nicholas McKim,TAS
Senator,Richard Colbeck,TAS
Senator,Richard Dowling,TAS
Senator,Tammy Tyrrell,TAS
Senator,Wendy Askew,TAS
Senator,James Paterson,VIC
Senator,Jana Stewart,VIC
Senator,Jane Hume,VIC
Senator,Jess Walsh,VIC
Senator,Lidia Thorpe,VIC
Senator,Lisa Darmanin,VIC
Senator,Michelle Ananda-Rajah,VIC
Senator,Raffaele Ciccone,VIC
Senator,Ralph Babet,VIC
Senator,Sarah Henderson,VIC
Senator,Steph Hodgins-May,VIC
Senator,Dean Smith,WA
Senator,Dorinda Cox,WA
Senator,Ellie Whiteaker,WA
Senator,Fatima Payman,WA
Senator,Matthew O'Sullivan,WA
Senator,Michaelia Cash,WA
Senator,Susan Lines,WA
Senator,Tyron Whitten,WA
Senator,Varun Ghosh,WA
Senator,William Brockman,WA